Number,index,Problem,Rate,Rating,Color,Difficulty,Link,Contest
83,B,Parity and Sum,https://img.shields.io/badge/Newbie-1100-lightgrey,Newbie,lightgrey,1100,https://codeforces.com/contest/1993/problem/B,https://codeforces.com/contest/1993
84,A,Question Marks,https://img.shields.io/badge/Newbie-800-lightgrey,Newbie,lightgrey,800,https://codeforces.com/contest/1993/problem/A,https://codeforces.com/contest/1993
85,G,Ultra-Meow,https://img.shields.io/badge/Candidate%20Master-2000-blueviolet,Candidate Master,blueviolet,2000,https://codeforces.com/contest/1992/problem/G,https://codeforces.com/contest/1992
86,F,Valuable Cards,https://img.shields.io/badge/Candidate%20Master-1900-blueviolet,Candidate Master,blueviolet,1900,https://codeforces.com/contest/1992/problem/F,https://codeforces.com/contest/1992
87,E,Novice's Mistake,https://img.shields.io/badge/Expert-1700-blue,Expert,blue,1700,https://codeforces.com/contest/1992/problem/E,https://codeforces.com/contest/1992
88,D,Test of Love,https://img.shields.io/badge/Pupil-1200-brightgreen,Pupil,brightgreen,1200,https://codeforces.com/contest/1992/problem/D,https://codeforces.com/contest/1992
89,C,Gorilla and Permutation,https://img.shields.io/badge/Newbie-900-lightgrey,Newbie,lightgrey,900,https://codeforces.com/contest/1992/problem/C,https://codeforces.com/contest/1992
90,B,Angry Monk,https://img.shields.io/badge/Newbie-800-lightgrey,Newbie,lightgrey,800,https://codeforces.com/contest/1992/problem/B,https://codeforces.com/contest/1992
91,A,Only Pluses,https://img.shields.io/badge/Newbie-800-lightgrey,Newbie,lightgrey,800,https://codeforces.com/contest/1992/problem/A,https://codeforces.com/contest/1992
92,I,Grid Game,https://img.shields.io/badge/Legendary%20Grandmaster-3500-red,Legendary Grandmaster,red,3500,https://codeforces.com/contest/1991/problem/I,https://codeforces.com/contest/1991
93,H,Prime Split Game,https://img.shields.io/badge/Legendary%20Grandmaster-3300-red,Legendary Grandmaster,red,3300,https://codeforces.com/contest/1991/problem/H,https://codeforces.com/contest/1991
94,G,Grid Reset,https://img.shields.io/badge/International%20Grandmaster-2700-red,International Grandmaster,red,2700,https://codeforces.com/contest/1991/problem/G,https://codeforces.com/contest/1991
95,F,Triangle Formation,https://img.shields.io/badge/Master-2200-orange,Master,orange,2200,https://codeforces.com/contest/1991/problem/F,https://codeforces.com/contest/1991
96,E,Coloring Game,https://img.shields.io/badge/Candidate%20Master-1900-blueviolet,Candidate Master,blueviolet,1900,https://codeforces.com/contest/1991/problem/E,https://codeforces.com/contest/1991
97,D,Prime XOR Coloring,https://img.shields.io/badge/Candidate%20Master-1900-blueviolet,Candidate Master,blueviolet,1900,https://codeforces.com/contest/1991/problem/D,https://codeforces.com/contest/1991
98,C,Absolute Zero,https://img.shields.io/badge/Pupil-1300-brightgreen,Pupil,brightgreen,1300,https://codeforces.com/contest/1991/problem/C,https://codeforces.com/contest/1991
99,B,AND Reconstruction,https://img.shields.io/badge/Newbie-1100-lightgrey,Newbie,lightgrey,1100,https://codeforces.com/contest/1991/problem/B,https://codeforces.com/contest/1991
100,A,Maximize the Last Element,https://img.shields.io/badge/Newbie-800-lightgrey,Newbie,lightgrey,800,https://codeforces.com/contest/1991/problem/A,https://codeforces.com/contest/1991
101,F,Polygonal Segments,https://img.shields.io/badge/International%20Grandmaster-2800-red,International Grandmaster,red,2800,https://codeforces.com/contest/1990/problem/F,https://codeforces.com/contest/1990
102,E2,Catch the Mole(Hard Version),https://img.shields.io/badge/International%20Grandmaster-2600-red,International Grandmaster,red,2600,https://codeforces.com/contest/1990/problem/E2,https://codeforces.com/contest/1990
103,E1,Catch the Mole(Easy Version),https://img.shields.io/badge/Grandmaster-2500-red,Grandmaster,red,2500,https://codeforces.com/contest/1990/problem/E1,https://codeforces.com/contest/1990
104,D,Grid Puzzle,https://img.shields.io/badge/Expert-1800-blue,Expert,blue,1800,https://codeforces.com/contest/1990/problem/D,https://codeforces.com/contest/1990
105,C,Mad MAD Sum,https://img.shields.io/badge/Specialist-1500-9cf,Specialist,9cf,1500,https://codeforces.com/contest/1990/problem/C,https://codeforces.com/contest/1990
106,B,Array Craft,https://img.shields.io/badge/Pupil-1200-brightgreen,Pupil,brightgreen,1200,https://codeforces.com/contest/1990/problem/B,https://codeforces.com/contest/1990
107,A,Submission Bait,https://img.shields.io/badge/Newbie-900-lightgrey,Newbie,lightgrey,900,https://codeforces.com/contest/1990/problem/A,https://codeforces.com/contest/1990
108,F,Simultaneous Coloring,https://img.shields.io/badge/Legendary%20Grandmaster-3000-red,Legendary Grandmaster,red,3000,https://codeforces.com/contest/1989/problem/F,https://codeforces.com/contest/1989
109,E,Distance to Different,https://img.shields.io/badge/International%20Master-2300-orange,International Master,orange,2300,https://codeforces.com/contest/1989/problem/E,https://codeforces.com/contest/1989
110,D,Smithing Skill,https://img.shields.io/badge/Candidate%20Master-1900-blueviolet,Candidate Master,blueviolet,1900,https://codeforces.com/contest/1989/problem/D,https://codeforces.com/contest/1989
